domain,role_family,target_role,competency,related_skills,candidate_answer,star_relevance_score,technical_accuracy_score,evidence_level,final_answer_quality_label
Information & Technology,Data & AI,AI Engineer,Deep Neural Network Architecture Design,"artificial intelligence, deep learning, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan Deep Neural Network Architecture Design pakai artificial intelligence, deep learning, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.17,0.3,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Deep Neural Network Architecture Design,"artificial intelligence, deep learning, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan Deep Neural Network Architecture Design pakai artificial intelligence, deep learning, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.36,0.22,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Deep Neural Network Architecture Design,"artificial intelligence, deep learning, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan Deep Neural Network Architecture Design pakai artificial intelligence, deep learning, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.17,0.38,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Deep Neural Network Architecture Design,"artificial intelligence, deep learning, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan Deep Neural Network Architecture Design pakai artificial intelligence, deep learning, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.15,0.26,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Deep Neural Network Architecture Design,"artificial intelligence, deep learning, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan Deep Neural Network Architecture Design pakai artificial intelligence, deep learning, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.14,0.39,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Pada proyek terakhir terkait Natural Language Processing & LLM Integration, saya bertanggung jawab penuh menggunakan natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.98,0.96,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Pada proyek terakhir terkait Natural Language Processing & LLM Integration, saya bertanggung jawab penuh menggunakan natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.98,0.9,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Pada proyek terakhir terkait Natural Language Processing & LLM Integration, saya bertanggung jawab penuh menggunakan natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.93,0.89,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Pada proyek terakhir terkait Natural Language Processing & LLM Integration, saya bertanggung jawab penuh menggunakan natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.96,0.97,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Pada proyek terakhir terkait Natural Language Processing & LLM Integration, saya bertanggung jawab penuh menggunakan natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.92,0.97,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Saya pernah ikut tim mengerjakan Natural Language Processing & LLM Integration pakai natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.28,0.38,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Saya pernah ikut tim mengerjakan Natural Language Processing & LLM Integration pakai natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.21,0.42,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Saya pernah ikut tim mengerjakan Natural Language Processing & LLM Integration pakai natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.41,0.35,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Saya pernah ikut tim mengerjakan Natural Language Processing & LLM Integration pakai natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.33,0.29,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Natural Language Processing & LLM Integration,"natural language processing, prompt engineering, generative ai, artificial intelligence","Saya pernah ikut tim mengerjakan Natural Language Processing & LLM Integration pakai natural language processing, prompt engineering, generative ai, artificial intelligence. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.44,0.45,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Pada proyek terakhir terkait Computer Vision Application Systems, saya bertanggung jawab penuh menggunakan computer vision, deep learning, tensorflow, pytorch. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.95,0.94,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Pada proyek terakhir terkait Computer Vision Application Systems, saya bertanggung jawab penuh menggunakan computer vision, deep learning, tensorflow, pytorch. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.87,0.99,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Pada proyek terakhir terkait Computer Vision Application Systems, saya bertanggung jawab penuh menggunakan computer vision, deep learning, tensorflow, pytorch. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.89,0.91,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Pada proyek terakhir terkait Computer Vision Application Systems, saya bertanggung jawab penuh menggunakan computer vision, deep learning, tensorflow, pytorch. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.98,0.91,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Pada proyek terakhir terkait Computer Vision Application Systems, saya bertanggung jawab penuh menggunakan computer vision, deep learning, tensorflow, pytorch. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.98,1.0,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Saya pernah ikut tim mengerjakan Computer Vision Application Systems pakai computer vision, deep learning, tensorflow, pytorch. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.12,0.47,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Saya pernah ikut tim mengerjakan Computer Vision Application Systems pakai computer vision, deep learning, tensorflow, pytorch. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.14,0.32,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Saya pernah ikut tim mengerjakan Computer Vision Application Systems pakai computer vision, deep learning, tensorflow, pytorch. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.16,0.34,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Saya pernah ikut tim mengerjakan Computer Vision Application Systems pakai computer vision, deep learning, tensorflow, pytorch. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.25,0.43,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Computer Vision Application Systems,"computer vision, deep learning, tensorflow, pytorch","Saya pernah ikut tim mengerjakan Computer Vision Application Systems pakai computer vision, deep learning, tensorflow, pytorch. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.28,0.39,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Pada proyek terakhir terkait High Performance Inference Deployment, saya bertanggung jawab penuh menggunakan api integration, tensorflow, pytorch, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.88,0.99,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Pada proyek terakhir terkait High Performance Inference Deployment, saya bertanggung jawab penuh menggunakan api integration, tensorflow, pytorch, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.99,0.95,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Pada proyek terakhir terkait High Performance Inference Deployment, saya bertanggung jawab penuh menggunakan api integration, tensorflow, pytorch, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.98,0.94,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Pada proyek terakhir terkait High Performance Inference Deployment, saya bertanggung jawab penuh menggunakan api integration, tensorflow, pytorch, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.98,0.92,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Pada proyek terakhir terkait High Performance Inference Deployment, saya bertanggung jawab penuh menggunakan api integration, tensorflow, pytorch, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.85,0.98,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan High Performance Inference Deployment pakai api integration, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.19,0.41,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan High Performance Inference Deployment pakai api integration, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.18,0.41,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan High Performance Inference Deployment pakai api integration, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.31,0.43,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan High Performance Inference Deployment pakai api integration, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.35,0.37,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,High Performance Inference Deployment,"api integration, tensorflow, pytorch, python","Saya pernah ikut tim mengerjakan High Performance Inference Deployment pakai api integration, tensorflow, pytorch, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.23,0.47,1,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Pada proyek terakhir terkait Multi Agent Integration Frameworks, saya bertanggung jawab penuh menggunakan api integration, artificial intelligence, generative ai, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.97,0.89,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Pada proyek terakhir terkait Multi Agent Integration Frameworks, saya bertanggung jawab penuh menggunakan api integration, artificial intelligence, generative ai, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.93,0.94,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Pada proyek terakhir terkait Multi Agent Integration Frameworks, saya bertanggung jawab penuh menggunakan api integration, artificial intelligence, generative ai, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.9,0.96,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Pada proyek terakhir terkait Multi Agent Integration Frameworks, saya bertanggung jawab penuh menggunakan api integration, artificial intelligence, generative ai, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.99,0.91,4,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Pada proyek terakhir terkait Multi Agent Integration Frameworks, saya bertanggung jawab penuh menggunakan api integration, artificial intelligence, generative ai, python. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",1.0,0.92,5,HIGH_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Saya pernah ikut tim mengerjakan Multi Agent Integration Frameworks pakai api integration, artificial intelligence, generative ai, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.39,0.29,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Saya pernah ikut tim mengerjakan Multi Agent Integration Frameworks pakai api integration, artificial intelligence, generative ai, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.24,0.31,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Saya pernah ikut tim mengerjakan Multi Agent Integration Frameworks pakai api integration, artificial intelligence, generative ai, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.24,0.2,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Saya pernah ikut tim mengerjakan Multi Agent Integration Frameworks pakai api integration, artificial intelligence, generative ai, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.23,0.36,2,LOW_QUALITY
Information & Technology,Data & AI,AI Engineer,Multi Agent Integration Frameworks,"api integration, artificial intelligence, generative ai, python","Saya pernah ikut tim mengerjakan Multi Agent Integration Frameworks pakai api integration, artificial intelligence, generative ai, python. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.29,0.27,2,LOW_QUALITY
Information & Technology,Data & AI,ML Engineer,Scalable Model Deployment & Orchestration,"model deployment, python, mlops, scikit-learn","Pada proyek terakhir terkait Scalable Model Deployment & Orchestration, saya bertanggung jawab penuh menggunakan model deployment, python, mlops, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.96,0.88,4,HIGH_QUALITY
Information & Technology,Data & AI,ML Engineer,Scalable Model Deployment & Orchestration,"model deployment, python, mlops, scikit-learn","Pada proyek terakhir terkait Scalable Model Deployment & Orchestration, saya bertanggung jawab penuh menggunakan model deployment, python, mlops, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.89,0.94,5,HIGH_QUALITY
Information & Technology,Data & AI,ML Engineer,Scalable Model Deployment & Orchestration,"model deployment, python, mlops, scikit-learn","Pada proyek terakhir terkait Scalable Model Deployment & Orchestration, saya bertanggung jawab penuh menggunakan model deployment, python, mlops, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.87,0.99,4,HIGH_QUALITY
Information & Technology,Data & AI,ML Engineer,Scalable Model Deployment & Orchestration,"model deployment, python, mlops, scikit-learn","Pada proyek terakhir terkait Scalable Model Deployment & Orchestration, saya bertanggung jawab penuh menggunakan model deployment, python, mlops, scikit-learn. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.87,0.95,4,HIGH_QUALITY
